Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,CORSIA Eligible,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR471,NA,,"New England Waste Services of NY, Inc.","New England Waste Services of NY, Inc.",Clinton County Landfill Methane Destruction Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Morrisonville, NY",NEW YORK,US,,,,247047,07/23/2009,07/13/2011,View,View,
CAR535,NA,,"Covanta Semass, L.P.","Covanta Semass, L.P.",CMW Landfill Methane Reduction Project,,,"First Environment, Inc.",Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Carver,MASSACHUSETTS,US,,,,41716,11/17/2009,06/05/2012,View,View,
CAR467,NA,,Coffee County Commission,Coffee County Commission,Coffee County Sanitary Landfill Gas Collection System,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Coffee County,ALABAMA,US,,,,416102,07/30/2009,04/05/2010,View,View,
CAR1335,NA,,"ClimeCo Corp MCK NAP2, LLC.","ClimeCo Corp MCK NAP2, LLC.",Coffeyville NAP2,,,"TUV SUD America, Inc.",Nitric Acid N2O- Tertiary Catalyst,Registered,Not ARB Eligible,No,"Coffeyville, Kansas",KANSAS,US,,,,1418218,04/02/2019,08/31/2020,View,View,
CAR1382,CAFR6382,,Sierra Pacific Industries,Sierra Pacific Industries,Cohasset 2019,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,No,Butte and Tehama Counties,CALIFORNIA,US,,,,197024,10/29/2019,08/30/2022,View,View,
CAR480,NA,,"PPL EnergyPlus, LLC","PPL EnergyPlus, LLC",Colebrook Landfill,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Coos County; Colebrook,NEW HAMPSHIRE,US,,,,17535,09/24/2009,05/06/2011,View,View,
CAR1487,CAFR6487,,RenewWest,RenewWest,Collins - Modoc Reforestation,"Collins Timber Company, LLC",RenewWest,,Reforestation - ARB Compliance,Registered,Active Registry Project,No,"Modoc County, CA",CALIFORNIA,US,,,,,05/03/2021,08/01/2023,View,View,
CAR1573,NA,,ALVARO RENE RIVERA JARAMILLO,Comunidad Chavarría Nuevo,Comunidad Chavarría Nuevo,,,THEEARTHLAB S.A de C.V,Forestry - MX,Listed,Not ARB Eligible,No,Durango,DURANGO,MX,,,,,02/09/2023,,View,View,www.agesamex.com
CAR1648,NA,,ALVARO RENE RIVERA JARAMILLO,El Tarahumar y Bajíos del Tarahumar,Comunidad El Tarahumar y Bajíos del Tarahumar,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,No,"Municpio de Tepehuanes, al norte del estado de Durango",DURANGO,MX,,,,133766,12/05/2022,11/28/2023,View,View,www.agesamex.com
CAR1496,NA,CARC1502,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",COMUNIDAD RIO Y PAPUDOS,Comunidad Rio y Papudos,,,,Forestry - MX,Registered,Not ARB Eligible,Yes,Canelas,DURANGO,MX,,1. No Poverty;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,70239,07/14/2021,05/06/2022,View,View,
